,title,total,last,length
12633,"Roscoe, Texas",14864,1378,8731
12634,"Whitney, Texas",14859,1833,6697
12635,"Grafton, Illinois",14855,609,15675
12636,"Middleburg, Pennsylvania",14852,1382,21182
12637,"Danbury, New Hampshire",14851,1071,12449
12638,"Woodbury, Vermont",14845,809,7457
12639,"Fairmount Heights, Maryland",14842,1508,19691
12640,"Riverwoods, Illinois",14842,3843,13123
12641,"Milliken, Colorado",14837,2888,12657
12642,"Fremont, Indiana",14833,1696,17081
12643,"Locust Grove, Georgia",14831,2322,15504
12644,"Atoka, Tennessee",14831,3235,21448
12645,"Harrison, Michigan",14828,2108,11183
12646,"Spring Hope, North Carolina",14826,1261,7390
12647,"Bal Harbour, Florida",14825,3305,19734
12648,"Newman, Illinois",14823,956,8132
12649,"Leesburg, Georgia",14822,2633,13355
12650,"McCrory, Arkansas",14820,1850,6757
12651,"Yountville, California",14820,2916,15340
12652,"Calvert City, Kentucky",14818,2701,12653
12653,"Georgetown, Colorado",14809,1088,21272
12654,"Luxora, Arkansas",14807,1317,6835
12655,"North Lewisburg, Ohio",14804,1588,10627
12656,"Stamford (village), New York",14802,1265,9942
12657,"Windsor, Shelby County, Illinois",14797,1125,10263
12658,"Wesley Hills, New York",14781,4848,8940
12659,"Mountain View, Missouri",14778,2430,10431
12660,"Harlowton, Montana",14777,1062,47579
12661,"Indian Head Park, Illinois",14770,3685,11003
12662,"Hammondsport, New York",14767,731,11930
12663,"John Day, Oregon",14767,1821,18919
12664,"Farmington, Iowa",14757,585,11883
12665,"Coloma, Michigan",14755,1595,10951
12666,"Bainbridge, Ross County, Ohio",14753,1012,11247
12667,"Palisade, Colorado",14749,2579,13674
12668,"Washington, New Hampshire",14744,895,11908
12669,"Bryson City, North Carolina",14738,1411,18356
12670,"Adamstown, Pennsylvania",14734,1203,10529
12671,"Fremont, Steuben County, New York",14728,964,8406
12672,"Emerson, Georgia",14724,1584,10538
12673,"Ellijay, Georgia",14724,1584,14385
12674,"Gregory, South Dakota",14724,1342,13586
12675,"Grand Junction, Iowa",14723,824,10241
12676,"Avis, Pennsylvania",14721,1492,8076
12677,"Buhl, Minnesota",14719,983,11608
12678,"Burwell, Nebraska",14715,1130,10522
12679,"Monticello, Utah",14714,1958,27082
12680,"Andover, Maine",14712,864,14533
12681,"Tappahannock, Virginia",14712,2068,13319
12682,"St. Stephen, South Carolina",14710,1776,8245
12683,"Lempster, New Hampshire",14709,971,9925
12684,"Cassville, Wisconsin",14709,1085,10871
12685,"Obion, Tennessee",14709,1134,7567
12686,"Dacula, Georgia",14707,3848,14855
12687,"Hazen, Arkansas",14703,1637,7455
12688,"Lynchburg, Ohio",14702,1350,11172
12689,"Sherman, Maine",14699,937,8458
12690,"Adrian, Missouri",14697,1780,13244
12691,"Naples, Texas",14697,1410,7060
12692,"Geneva, Indiana",14694,1368,10463
12693,"Beggs, Oklahoma",14694,1364,11390
12694,"Hallock, Minnesota",14693,1196,10740
12695,"Pentwater, Michigan",14692,958,11048
12696,"Douglass, Kansas",14690,1813,14070
12697,"Grundy, Virginia",14690,1105,19695
12698,"Garrison, North Dakota",14690,1318,11295
12699,"Ridgeland, South Carolina",14687,2518,10745
12700,"Oostburg, Wisconsin",14684,2660,10190
12701,"Waynesboro, Tennessee",14683,2228,11035
12702,"Connell, Washington",14680,2956,16719
12703,"Tega Cay, South Carolina",14680,4044,9686
12704,"Bridgewater, Maine",14679,612,11795
12705,"Coventry, Vermont",14675,1014,16739
12706,"East Township, Carroll County, Ohio",14673,859,10585
12707,"Walnut, Illinois",14672,1461,9183
12708,"Islesboro, Maine",14670,603,16319
12709,"Orchard City, Colorado",14667,2880,18964
12710,"Lauderdale, Minnesota",14667,2364,10881
12711,"Sheffield, Iowa",14666,1172,9429
12712,"Knox, Pennsylvania",14666,1176,9268
12713,"Milford, Pennsylvania",14664,1104,19456
12714,"Versailles, Indiana",14660,1784,12312
12715,"Carson City, Michigan",14657,1190,11943
12716,"Pagosa Springs, Colorado",14655,1591,17121
12717,"Clay, Alabama",14655,4947,10491
12718,"Williams Bay, Wisconsin",14652,2415,12592
12719,"Bird Island, Minnesota",14649,1195,11082
12720,"Pima, Arizona",14647,1989,9630
12721,"Anna, Texas",14647,1225,12394
12722,"Avondale Estates, Georgia",14646,2609,17146
12723,"Capac, Michigan",14643,1775,10252
12724,"Southport, Indiana",14640,1852,10865
12725,"Stewartstown, Pennsylvania",14633,1752,9817
12726,"Camp Hill, Alabama",14628,1273,11525
12727,"Clearwater, Kansas",14625,2178,12393
12728,"McConnellsburg, Pennsylvania",14616,1073,10158
12729,"Coalville, Utah",14607,1382,15935
12730,"Ferndale, California",14607,1382,76615
12731,"Filer, Idaho",14607,1620,10597
12732,"Plymouth, Maine",14605,1257,8824
12733,"Cobden, Illinois",14603,1116,11067
12734,"Cross Plains, Wisconsin",14602,3084,11537
12735,"Jamestown, North Carolina",14600,3088,17454
12736,"Madbury, New Hampshire",14599,1509,11603
12737,"Parker, Pennsylvania",14599,799,8498
12738,"Ramseur, North Carolina",14593,1588,7713
12739,"Granville, Illinois",14576,1414,7791
12740,"Island Falls, Maine",14575,793,9627
12741,"Weeping Water, Nebraska",14573,1003,10730
12742,"Mills, Wyoming",14568,2591,9285
12743,"Moulton, Iowa",14565,605,8913
12744,"Perkins, Oklahoma",14558,2272,10091
12745,"Wink, Texas",14545,919,11677
12746,"Alton, Iowa",14544,1216,10936
12747,"Lake City, Georgia",14542,2886,9759
12748,"Victory, Minneapolis",14540,4750,4698
12749,"Eden, Vermont",14537,1152,10014
12750,"Eldred, Pennsylvania",14534,858,8256
12751,"Frazee, Minnesota",14533,1377,13115
12752,"Minneota, Minnesota",14530,1449,10473
12753,"Ganado, Texas",14530,1915,12015
12754,"Hillsboro, Wisconsin",14521,1302,9870
12755,"Sylvan Lake, Michigan",14516,1735,10016
12756,"Roxana, Illinois",14515,1547,18782
12757,"Jewell Junction, Iowa",14512,1215,10264
12758,"Wrightsville Beach, North Carolina",14509,2593,16455
12759,"Waynesburg, Ohio",14508,1003,12484
12760,"Roscoe, Pennsylvania",14508,848,7311
12761,"Hankinson, North Dakota",14505,1058,10830
12762,"Lowell, Vermont",14499,738,14616
12763,"Pinconning, Michigan",14499,1386,11114
12764,"Rockford, Ohio",14498,1126,13251
12765,"Springfield, Colorado",14497,1562,15251
12766,"Rimersburg, Pennsylvania",14496,1051,7518
12767,"Apache, Oklahoma",14495,1616,11325
12768,"West Easton, Pennsylvania",14488,1152,7460
12769,"Homedale, Idaho",14487,2528,10273
12770,"El Lago, Texas",14487,3075,12154
12771,"Iowa, Louisiana",14485,2663,10451
12772,"Red Hill, Pennsylvania",14484,2196,10563
12773,"Linesville, Pennsylvania",14483,1155,12788
12774,"Odell, Illinois",14479,1014,17570
12775,"Coldwater, Mississippi",14477,1674,12455
12776,"Clarksville, Virginia",14473,1329,12451
12777,"Coleraine, Minnesota",14471,1110,10272
12778,"Auburn, Kentucky",14465,1444,7647
12779,"New Carlisle, Indiana",14464,1505,12522
12780,"Crescent Springs, Kentucky",14463,3931,7782
12781,"Minerva, New York",14462,796,11232
12782,"Chelsea, Alabama",14461,2949,8506
12783,"Coulterville, Illinois",14460,1230,10813
12784,"Necedah, Wisconsin",14454,888,10786
12785,"Hedwig Village, Texas",14450,2334,21933
12786,"Dublin, Indiana",14448,697,10373
12787,"Erick, Oklahoma",14447,1023,18913
12788,"Avon, Colorado",14446,5561,16990
12789,"Cloverdale, Indiana",14441,2243,11249
12790,"Troy, Kansas",14440,1054,13668
12791,"Millersburg, Kentucky",14438,842,10086
12792,"Flowery Branch, Georgia",14438,1806,11389
12793,"Osage Beach, Missouri",14436,3662,12849
12794,"Damascus, Virginia",14433,981,8984
12795,"Danforth, Maine",14430,629,9990
12796,"Montello, Wisconsin",14419,1397,12438
12797,"Forrest, Illinois",14418,1225,14727
12798,"West Salem, Ohio",14417,1501,9706
12799,"Duboistown, Pennsylvania",14413,1280,14838
12800,"Standish, Michigan",14408,1581,11969
12801,"Earlville, Iowa",14405,812,9804
12802,"Golden Meadow, Louisiana",14403,2193,11122
12803,"Chesterfield, South Carolina",14399,1318,14797
12804,"Frankfort, Kansas",14398,855,12630
12805,"Albertville, Minnesota",14398,3621,12764
12806,"Friars Point, Mississippi",14394,1480,18365
12807,"Logansport, Louisiana",14394,1630,14281
12808,"Ball, Louisiana",14391,3681,10339
12809,"Big Beaver, Pennsylvania",14389,2186,6737
12810,"Arkoma, Oklahoma",14388,2180,9213
12811,"Ness City, Kansas",14383,1534,14032
12812,"North Utica, Illinois",14380,977,9714
12813,"Millsboro, Delaware",14374,2360,8746
12814,"Cimarron, Kansas",14374,1934,14093
12815,"Oregon, Missouri",14366,935,11866
12816,"Marcus, Iowa",14366,1139,10362
12817,"Swanville, Maine",14364,1357,11519
12818,"Rochelle, Georgia",14364,1415,10039
12819,"Creedmoor, North Carolina",14364,2232,18649
12820,"Kiantone, New York",14361,1387,9398
12821,"Greenwood, Maine",14357,802,11091
12822,"Nauvoo, Illinois",14356,1063,24407
12823,"Lawson, Missouri",14354,2336,12256
12824,"Marcellus, Michigan",14352,1162,11202
12825,"St. Francis, Kansas",14352,1497,14845
12826,"Fairlee, Vermont",14349,967,14628
12827,"Meigs Township, Muskingum County, Ohio",14349,173,6646
12828,"Summitville, Indiana",14345,1090,10598
12829,"Shorewood Hills, Wisconsin",14345,1732,12948
12830,"Priest River, Idaho",14336,1754,12293
12831,"Manchester, Kentucky",14333,1738,8690
12832,"Oroville, Washington",14333,1653,13947
12833,"Collinsville, Alabama",14327,1644,9661
12834,Allegany Indian Reservation,14325,1099,9193
12835,"McMullen County, Texas",14323,851,8502
12836,"Millersville, Tennessee",14323,5308,7320
12837,"New Market, Virginia",14322,1637,8956
12838,"Gypsum, Colorado",14321,3654,15472
12839,"Holt, Alabama",14318,4102,9354
12840,"Shoshone, Idaho",14316,1398,14455
12841,"Pembroke, Georgia",14314,2379,11589
12842,"Howard Lake, Minnesota",14307,1853,12375
12843,"Pelahatchie, Mississippi",14306,1461,5876
12844,"New Ellenton, South Carolina",14300,2250,8581
12845,"Mechanicsville, Iowa",14299,1146,9795
12846,"East Canton, Ohio",14297,1629,10596
12847,"Clayton, Delaware",14295,1273,7424
12848,"Oakland, Illinois",14294,996,9503
12849,"Boise City, Oklahoma",14292,1483,15988
12850,"Roseboom, New York",14284,684,8120
12851,"Wessington Springs, South Dakota",14278,1011,14726
12852,"North Collins (village), New York",14278,1079,7484
12853,"Alma, New York",14276,847,10171
12854,"Shiremanstown, Pennsylvania",14276,1521,7454
12855,"Gentry, Arkansas",14270,2165,15456
12856,"Newington, New Hampshire",14267,775,11960
12857,"Liberty, Maine",14261,927,12214
12858,"Milan, Indiana",14256,1816,13354
12859,"Markesan, Wisconsin",14256,1396,10516
12860,"Mellen, Wisconsin",14254,845,10354
12861,Downtown Cleveland,14250,4651,55734
12862,"Smithfield, Ohio",14249,867,11908
12863,"Sawmills, North Carolina",14249,4921,7283
12864,"Dunkirk, Ohio",14247,952,11459
12865,"Farley, Iowa",14244,1537,13839
12866,"Trenton, Georgia",14240,1942,12265
12867,"Fountain City, Wisconsin",14237,983,13544
12868,"Monticello, Mississippi",14233,1726,7112
12869,"Cedar Hills, Utah",14230,3094,10827
12870,"Altamont, New York",14229,1737,9746
12871,"Black River, New York",14225,1285,9050
12872,"Leicester, Vermont",14224,974,7920
12873,"Moores Mill, Alabama",14222,5178,8284
12874,"Santa Rosa, Texas",14217,2833,7611
12875,"Spring Green, Wisconsin",14214,1444,13574
12876,"Cavalier, North Dakota",14212,1537,16255
12877,"Continental, Ohio",14211,1188,10711
12878,"Roseville, Illinois",14209,1083,6502
12879,"Grove, New York",14204,533,9999
12880,"Bessemer, Lawrence County, Pennsylvania",14204,1172,7786
12881,"Ocean Shores, Washington",14198,3836,17943
12882,"Hagaman, New York",14195,1357,7186
12883,"Glidden, Iowa",14186,1146,12330
12884,"Port Richey, Florida",14184,3021,10392
12885,"Pinckney, New York",14181,319,7995
12886,"Fairfax, Minnesota",14181,1295,11425
12887,"Conyngham, Pennsylvania",14179,1958,12567
12888,"Meadows Place, Texas",14178,4912,14532
12889,"Wellford, South Carolina",14173,2030,7157
12890,"Clay City, Indiana",14171,1019,10613
12891,"Portola, California",14169,2227,19021
12892,"Ohio, New York",14167,922,10971
12893,"Dalton, Ohio",14165,1605,11360
12894,"Chateaugay (village), New York",14165,798,8190
12895,"Crescent, Oklahoma",14163,1281,14089
12896,"Wood Village, Oregon",14160,2860,10428
12897,"Fletcher, North Carolina",14159,4185,8733
12898,"Leachville, Arkansas",14151,1981,7113
12899,"West Point, Kentucky",14150,1100,8703
12900,"St. Ansgar, Iowa",14148,1107,11900
12901,"Rush Springs, Oklahoma",14146,1278,8978
12902,"Lanesboro, Minnesota",14139,788,15867
12903,"Port Aransas, Texas",14139,3370,39772
12904,"Hinton, Oklahoma",14138,2175,9078
12905,"Watford City, North Dakota",14138,1435,14942
12906,"Sleepy Hollow, Illinois",14138,3553,17314
12907,"Groton, South Dakota",14128,1356,13158
12908,"Rockford, Iowa",14124,860,12717
12909,"Prospect, Kentucky",14124,4657,9931
12910,"Southwest Ranches, Florida",14124,6779,21774
12911,"Norborne, Missouri",14123,805,11130
12912,"Brownington, Vermont",14107,885,14284
12913,"Calmar, Iowa",14106,978,12000
12914,"Cottage Grove, Wisconsin",14104,4059,10668
12915,"Jonesville, South Carolina",14103,982,7012
12916,"North Bennington, Vermont",14100,1428,10081
12917,"New Hempstead, New York",14099,4767,9801
12918,"Colby, Wisconsin",14093,1616,13917
12919,"Ragland, Alabama",14093,1918,9614
12920,"Rockwood, Pennsylvania",14087,954,9392
12921,"Brownstown, Cambria County, Pennsylvania",14086,883,7433
12922,"Waterford Township, Erie County, Pennsylvania",14074,3878,6566
12923,"Hinckley, Illinois",14073,1994,11091
12924,"Franklin, Nebraska",14063,1026,11013
12925,"Fisher, Illinois",14062,1647,9797
12926,"Shepherd, Michigan",14059,1536,9520
12927,"Morocco, Indiana",14054,1127,10885
12928,"Parker, South Dakota",14050,1031,12320
12929,"Marion Heights, Pennsylvania",14050,735,6426
12930,"Genoa, Nebraska",14048,981,11209
12931,"Garland, Utah",14048,1943,10361
12932,"Waymart, Pennsylvania",14046,1429,7946
12933,"East Dublin, Georgia",14042,2484,9059
12934,"Smithsburg, Maryland",14039,2146,13835
12935,"De Smet, South Dakota",14039,1164,17637
12936,"Reading, Michigan",14038,1134,9002
12937,"Muscoda, Wisconsin",14033,1453,12819
12938,"Buchanan, Virginia",14032,1233,10122
12939,"Osseo, Wisconsin",14030,1669,9668
12940,"Malvern, Ohio",14029,1218,11932
12941,"Baraga, Michigan",14026,1285,12664
12942,"Ridgefield, Washington",14025,2147,13448
12943,"Wilson (village), New York",14022,1213,18810
12944,"Harrisburg, New York",14020,423,7765
12945,"Lyford, Texas",14014,1973,8907
12946,"Asan, Guam",14013,2090,5408
12947,"Potterville, Michigan",14012,2168,13968
12948,"Florence, Kansas",14008,671,35644
12949,"Freetown, New York",14005,789,9291
12950,"Duncan, South Carolina",14004,2870,8724
12951,"Shinglehouse, Pennsylvania",14002,1250,7364
12952,"Marvell, Arkansas",14000,1395,12713
12953,"Medway, Maine",13996,1489,10554
12954,"Tabor, Iowa",13991,1040,10914
12955,"Blaine County, Nebraska",13990,583,10081
12956,"Watkinsville, Georgia",13988,2097,14009
12957,"Roanoke, Texas",13988,2810,17732
12958,"Elbow Lake, Grant County, Minnesota",13986,1275,12864
12959,"Celoron, New York",13975,1295,8275
12960,"Lee, Maine",13974,845,10173
12961,"Prospect, Ohio",13974,1191,8998
12962,"Thomas, Oklahoma",13968,1238,9291
12963,"Cooperstown, North Dakota",13967,1053,13592
12964,"Crosby, North Dakota",13961,1089,14575
12965,"Zillah, Washington",13958,2198,13927
12966,"Sneads, Florida",13957,1919,9344
12967,"Conway Springs, Kansas",13954,1322,11098
12968,"Virginia Gardens, Florida",13951,2348,14216
12969,"Richwood, Texas",13946,3012,7698
12970,"Palouse, Washington",13942,1011,10052
12971,"Brooklin, Maine",13938,841,13732
12972,"Munfordville, Kentucky",13936,1563,9511
12973,"Greenwood, Missouri",13936,3952,13154
12974,"Sabula, Iowa",13935,576,12692
12975,"Afton, Wyoming",13934,1818,12340
12976,"Erin, Tennessee",13930,1490,11795
12977,"Lyman, New Hampshire",13927,487,8208
12978,"Kingston, Ohio",13924,1032,9890
12979,"Croydon, New Hampshire",13919,661,9466
12980,"Woodstock, New Hampshire",13917,1139,10649
12981,"Flushing, Ohio",13917,900,10617
12982,"Fairview Township, Russell County, Kansas",13914,526,9781
12983,"Bethany, Illinois",13913,1287,8530
12984,"Leoti, Kansas",13912,1598,13408
12985,"Bratenahl, Ohio",13908,1337,14518
12986,"Elk Rapids, Michigan",13907,1700,12063
12987,"Madison, New Hampshire",13905,1984,10098
12988,"Temple, New Hampshire",13903,1297,10819
12989,"Centerton, Arkansas",13903,2146,8437
12990,"Jemison, Alabama",13900,2248,8159
12991,"Thurman, New York",13898,1199,8984
12992,"Livonia (village), New York",13897,1373,7950
12993,"Mars Hill, North Carolina",13897,1764,8595
12994,"Emlenton, Pennsylvania",13895,784,8421
12995,"Stonewood, West Virginia",13893,1815,9272
12996,"La Cygne, Kansas",13891,1115,14777
12997,"Idalou, Texas",13887,2157,9043
12998,"Seymour, Missouri",13883,1834,12627
12999,"Pinehurst, Orange County, Texas",13882,2274,6712
13000,"Minetto, New York",13873,1663,4540
13001,"Scotland, South Dakota",13871,891,11440
13002,"Cridersville, Ohio",13869,1817,10657
13003,"Talofofo, Guam",13868,3215,4282
13004,"Avonmore, Pennsylvania",13867,820,6531
13005,"Auburn, Pennsylvania",13866,839,7429
13006,"Brookport, Illinois",13864,1054,9519
13007,"Browning, Montana",13862,1065,14330
13008,"Malta, Ohio",13856,696,10184
13009,"Gowrie, Iowa",13856,1037,11229
13010,"Gordonsville, Virginia",13849,1498,17331
13011,"Ladonia, Texas",13846,667,8461
13012,"Bramwell, West Virginia",13846,426,11548
13013,"Dixon, Missouri",13845,1570,11737
13014,"Tivoli, New York",13844,1163,11824
13015,"Mercer, Maine",13838,647,9178
13016,"Clendenin, West Virginia",13837,1116,13809
13017,"Shelby, Wisconsin",13837,4687,6704
13018,"Caspian, Michigan",13835,997,11723
13019,"Linneus, Maine",13834,892,8847
13020,"Newton, Alabama",13834,1708,13053
13021,"Moundridge, Kansas",13834,1593,16305
13022,"Hurlock, Maryland",13833,1874,11174
13023,"Willard, Missouri",13832,3193,12030
13024,"New Washington, Ohio",13830,987,9253
13025,"Dexter, New York",13830,1120,8152
13026,"Flomaton, Alabama",13830,1588,9020
13027,"Hillsville, Virginia",13827,2607,14417
13028,"Fayette, Ohio",13826,1340,12471
13029,"Ivins, Utah",13825,4450,10949
13030,"Harvard, Nebraska",13824,998,10757
13031,"Osceola, Missouri",13822,835,13283
13032,"Ketchum, Idaho",13822,3003,16522
13033,"Parma, Idaho",13819,1771,12973
13034,"Cambridge, Nebraska",13818,1041,11097
13035,"Macon, Illinois",13816,1213,12034
13036,"Weybridge, Vermont",13813,824,7925
13037,"Knox, Maine",13811,747,9852
13038,"West Fairlee, Vermont",13808,726,8191
13039,"Wellman, Iowa",13803,1408,13063
13040,"Lincolnton, Georgia",13801,1595,11332
13041,"Clyde, Kansas",13800,740,15825
13042,"Maysville, Missouri",13789,1212,11935
13043,"DeMotte, Indiana",13786,3234,12916
13044,"Long Beach, Indiana",13785,1559,12833
13045,"Northrop, Minneapolis",13785,4683,3719
13046,"Lind-Bohanon, Minneapolis",13782,4449,5871
13047,"North Liberty, Indiana",13779,1402,10856
13048,"Merrionette Park, Illinois",13776,1999,10418
13049,"Manton, Michigan",13769,1221,11173
13050,"Mulberry, Arkansas",13767,1627,10375
13051,"Paint, Pennsylvania",13767,1103,6423
13052,"Jones, Oklahoma",13764,2517,10711
13053,"Oskaloosa, Kansas",13758,1165,13687
13054,"Divernon, Illinois",13756,1201,10467
13055,"Tiskilwa, Illinois",13746,787,15340
13056,"Girard, Alabama",13745,4215,3950
13057,"Tazewell, Tennessee",13744,2165,12099
13058,"Wamac, Illinois",13743,1378,8944
13059,"Stamford, Vermont",13742,813,7623
13060,"Tunica, Mississippi",13740,1132,12825
13061,"Lordstown, Ohio",13734,3633,12059
13062,"Orleans, Vermont",13731,826,18055
13063,"Howard, Kansas",13726,808,13871
13064,"Evendale, Ohio",13726,3090,10566
13065,"Pinckney, Michigan",13725,2141,11247
13066,"Waitsburg, Washington",13724,1212,12323
13067,"Ellaville, Georgia",13724,1609,11745
13068,"Roxbury, Vermont",13720,576,17110
13069,"Clarkesville, Georgia",13712,1248,13167
13070,"Stockton, Missouri",13706,1960,13131
13071,"Stanley, North Dakota",13704,1279,13378
13072,"Earlham, Iowa",13703,1450,10801
13073,"Mortons Gap, Kentucky",13702,952,7766
13074,"Sparks, Georgia",13701,1755,9887
13075,"Malakoff, Texas",13689,2257,8074
13076,"South Coatesville, Pennsylvania",13685,997,7280
13077,"Springer, New Mexico",13683,1285,9026
13078,"Antwerp (village), New York",13676,716,7408
13079,"Dale, Indiana",13675,1568,12151
13080,"Cochranton, Pennsylvania",13669,1148,8887
13081,"Sedgwick, Kansas",13667,1537,14129
13082,"Due West, South Carolina",13662,1209,8901
13083,"Jefferson, Oregon",13662,2487,11627
13084,"Fort Sumner, New Mexico",13661,1249,12351
13085,"Veneta, Oregon",13661,2755,15473
13086,"Hayden, Arizona",13659,892,7147
13087,"Lakeview, Michigan",13657,1112,10954
13088,"Gideon, Missouri",13647,1113,10897
13089,"Churchville, New York",13643,1887,8947
13090,"Edgewood, Indiana",13643,1988,9642
13091,"Robbinston, Maine",13640,525,14071
13092,"Gregory, Texas",13638,2318,7769
13093,"Marion, Wisconsin",13615,1297,10183
13094,"Murfreesboro, Arkansas",13612,1764,7617
13095,"Thomas County, Nebraska",13610,729,7192
13096,"Cache, Oklahoma",13609,2371,9996
13097,"New Franklin, Missouri",13608,1145,10539
13098,"Cedar Grove, Wisconsin",13602,1887,12318
13099,"Beach, North Dakota",13600,1116,14625
13100,"Amherst, Virginia",13596,2251,19199
13101,"Buffalo, Iowa",13595,1270,10372
13102,"Newport, Delaware",13595,1122,11725
13103,"Montrose, Michigan",13594,1619,12586
13104,"New Vienna, Ohio",13590,1294,10189
13105,"Morning Sun, Iowa",13588,836,9771
13106,"Wrightstown, Wisconsin",13585,1934,11501
13107,"Avilla, Indiana",13584,2049,11408
13108,"Lynn, Indiana",13579,1143,9685
13109,"Bagley, Minnesota",13578,1235,11300
13110,"Hallam, Pennsylvania",13577,1532,12962
13111,"Indian Wells, California",13575,3816,21469
13112,"Nicoma Park, Oklahoma",13572,2415,7553
13113,"Paullina, Iowa",13566,1124,10242
13114,"Russell Springs, Kentucky",13565,2399,8688
13115,"Dacono, Colorado",13559,3015,12482
13116,"Blossom, Texas",13557,1439,7255
13117,"Harmony, Pennsylvania",13556,937,13046
13118,"Medford, Oklahoma",13552,1172,9377
13119,"Wheelock, Vermont",13546,621,9464
13120,"Lewisport, Kentucky",13546,1639,9619
13121,"Pender, Nebraska",13546,1148,16873
13122,"Kenly, North Carolina",13546,1569,7954
13123,"Manor, Texas",13546,1204,13950
13124,"Dover, Vermont",13545,1410,8350
13125,"Litchfield, Michigan",13541,1458,9456
13126,"Rehoboth Beach, Delaware",13538,1495,30280
13127,"Demorest, Georgia",13535,1465,15214
13128,"Walton Hills, Ohio",13535,2400,9807
13129,"Redfield, New York",13533,606,8072
13130,"Tutwiler, Mississippi",13533,1364,18137
13131,"Woodbury, Georgia",13532,1184,10697
13132,"Alburtis, Pennsylvania",13531,2117,8752
13133,"Afton, Oklahoma",13524,1118,10386
13134,"Buda, Texas",13523,2404,16174
13135,"Leesburg, Ohio",13522,1253,9743
13136,"Coleman, Michigan",13520,1296,9901
13137,"Fulda, Minnesota",13520,1283,16624
13138,"Blandinsville, Illinois",13516,777,8627
13139,"Vermont, Illinois",13515,792,10697
13140,"North Apollo, Pennsylvania",13515,1426,6946
13141,"Richland, Pennsylvania",13510,1508,7337
13142,"Estacada, Oregon",13510,2371,17657
13143,"Tangletown, Minneapolis",13510,4464,4658
13144,"Columbus, Montana",13508,1748,12488
13145,"Frankfort, Ohio",13505,1011,11678
13146,"Hodgkins, Illinois",13505,2134,26181
13147,"Roanoke, Indiana",13502,1495,10798
13148,"Polk City, Iowa",13498,2344,11165
13149,"Pleasantville, Venango County, Pennsylvania",13494,850,6998
13150,"Gordon, Pennsylvania",13493,781,7367
13151,"Genoa City, Wisconsin",13492,1949,12005
13152,"Alna, Maine",13489,675,12184
13153,"Midland City, Alabama",13489,1703,11651
13154,"Haileyville, Oklahoma",13486,891,9667
13155,"Winsted, Minnesota",13482,2094,10095
13156,"Jay, Oklahoma",13482,2482,11381
13157,"Inarajan, Guam",13480,3052,6272
13158,"Fries, Virginia",13476,614,12845
13159,"Broadway, Virginia",13472,2192,8174
13160,"Exira, Iowa",13468,840,12705
13161,"Dalton, Pennsylvania",13466,1294,7685
13162,"Eatonville, Washington",13461,2012,11878
13163,"Black Diamond, Washington",13460,3970,15126
13164,"Claysville, Pennsylvania",13457,724,7559
13165,"Andover, Ohio",13454,1269,13185
13166,"Snow Hill, North Carolina",13453,1514,12613
13167,"Glenwood, Arkansas",13453,1751,10986
13168,"Butler, Alabama",13453,1952,9767
13169,"Theresa (village), New York",13452,812,6999
13170,"Osceola, Nebraska",13452,921,17038
13171,"Benkelman, Nebraska",13450,1006,12671
13172,"Ashland, Kansas",13446,975,14609
13173,"Eagle Lake, Florida",13446,2496,18278
13174,"Meridian, Texas",13445,1491,8130
13175,"Milesburg, Pennsylvania",13442,1187,7776
13176,"New Vineyard, Maine",13438,725,8595
13177,"Oran, Missouri",13438,1264,10020
13178,"Anahuac, Texas",13436,2210,14828
13179,"Waverly, Nebraska",13433,2448,10376
13180,"Salyersville, Kentucky",13431,1604,21889
13181,"Waddington (village), New York",13430,923,6934
13182,"Edmore, Michigan",13428,1244,11301
13183,"Centerburg, Ohio",13423,1432,11498
13184,"Pleasant Garden, North Carolina",13422,4714,7533
13185,"Lambert, Mississippi",13421,1967,9305
13186,"Sunnyvale, Texas",13419,2693,13943
13187,"Sugar Grove, Pennsylvania",13418,613,7061
13188,"Saratoga, Wyoming",13418,1726,14316
13189,"Rolla, North Dakota",13415,1417,13855
13190,"Clatskanie, Oregon",13414,1528,14899
13191,"Elida, Ohio",13413,1917,10824
13192,"Gassaway, West Virginia",13413,901,12683
13193,"Aberdeen, Idaho",13413,1840,13727
13194,"Wathena, Kansas",13412,1348,12552
13195,"Napoleonville, Louisiana",13411,686,19453
13196,"Platte, South Dakota",13410,1367,15467
13197,"West Mayfield, Pennsylvania",13410,1187,16900
13198,"Ogden, Kansas",13406,1762,12240
13199,"Huntsville, Arkansas",13405,1931,11278
13200,"Chiefland, Florida",13401,1993,14307
13201,"White Bluff, Tennessee",13400,2142,10105
13202,"Scottville, Michigan",13398,1266,11866
13203,"Mabank, Texas",13398,2151,9517
13204,"Grove Hill, Alabama",13395,1438,9737
13205,"Moody, Texas",13395,1400,6629
13206,"Glasscock County, Texas",13393,1406,9314
13207,"Harford, New York",13390,920,9486
13208,"Edinburg, Illinois",13390,1135,9219
13209,"Osceola, Indiana",13383,1859,11497
13210,"Mahnomen, Minnesota",13382,1202,10593
13211,"Cave Creek, Arizona",13380,3728,11489
13212,"Brownsville, Oregon",13376,1449,12759
13213,"Louisville, Illinois",13375,1242,10508
13214,"Avon, Illinois",13369,915,10413
13215,"Cheney, Kansas",13365,1783,12428
13216,"Gilsum, New Hampshire",13363,777,10754
13217,"Georgetown, Floyd County, Indiana",13361,2227,12026
